CashReceiptID,ReceiptNumber,ReceiptDate,CustomerID,SalesInvoiceID,Amount,PaymentMethod,ReferenceNumber,DepositDate,RecordedByEmployeeID
1972,CR-2024-001972,2024-11-13,119,,10158.63,ACH,AR00001972,2024-11-15,97
1973,CR-2024-001973,2024-11-12,120,,4625.9,Wire Transfer,AR00001973,2024-11-13,11
1974,CR-2024-001974,2024-11-18,121,,15026.22,Wire Transfer,AR00001974,2024-11-20,11
1975,CR-2024-001975,2024-11-10,122,4803.0,181.86,Check,AR00001975,2024-11-12,115
1976,CR-2024-001976,2024-11-11,123,,9458.49,Check,AR00001976,2024-11-12,115
1977,CR-2024-001977,2024-11-17,124,,28010.39,Wire Transfer,AR00001977,2024-11-18,11
1978,CR-2024-001978,2024-11-10,125,,19234.67,Check,AR00001978,2024-11-12,11
1979,CR-2024-001979,2024-11-07,126,1690.0,0.05,Credit Card,AR00001979,2024-11-08,115
1980,CR-2024-001980,2024-11-13,127,,11846.21,Wire Transfer,AR00001980,2024-11-13,97
1981,CR-2024-001981,2024-11-14,128,,28842.89,Wire Transfer,AR00001981,2024-11-15,115
1982,CR-2024-001982,2024-11-10,129,,21427.23,Check,AR00001982,2024-11-12,115
1983,CR-2024-001983,2024-11-12,130,,2051.22,ACH,AR00001983,2024-11-12,97
1984,CR-2024-001984,2024-11-20,131,,11942.14,Check,AR00001984,2024-11-21,97
1985,CR-2024-001985,2024-11-04,132,,19.74,ACH,AR00001985,2024-11-04,11
1986,CR-2024-001986,2024-11-18,133,,38221.13,Check,AR00001986,2024-11-20,115
1987,CR-2024-001987,2024-11-12,135,,31475.87,Wire Transfer,AR00001987,2024-11-14,97
1988,CR-2024-001988,2024-11-14,136,,58180.14,ACH,AR00001988,2024-11-14,97
1989,CR-2024-001989,2024-11-22,136,,11355.67,Check,AR00001989,2024-11-24,11
1990,CR-2024-001990,2024-11-19,137,,13015.15,Wire Transfer,AR00001990,2024-11-21,97
1991,CR-2024-001991,2024-11-10,138,,12825.84,Wire Transfer,AR00001991,2024-11-12,11
1992,CR-2024-001992,2024-11-10,139,,10812.64,ACH,AR00001992,2024-11-11,11
1993,CR-2024-001993,2024-11-10,140,,1586.43,Credit Card,AR00001993,2024-11-11,97
1994,CR-2024-001994,2024-11-14,141,,19206.89,Check,AR00001994,2024-11-15,115
1995,CR-2024-001995,2024-11-12,143,,4778.22,ACH,AR00001995,2024-11-13,97
1996,CR-2024-001996,2024-11-20,144,,19294.12,Check,AR00001996,2024-11-21,11
1997,CR-2024-001997,2024-11-08,145,,1828.88,Wire Transfer,AR00001997,2024-11-09,11
1998,CR-2024-001998,2024-11-11,146,,20218.73,Credit Card,AR00001998,2024-11-12,97
1999,CR-2024-001999,2024-11-11,147,,5592.3,ACH,AR00001999,2024-11-11,97
2000,CR-2024-002000,2024-11-08,148,,407.11,Wire Transfer,AR00002000,2024-11-08,97
2001,CR-2024-002001,2024-11-10,149,,9233.18,ACH,AR00002001,2024-11-12,115
2002,CR-2024-002002,2024-11-11,150,,6203.34,Wire Transfer,AR00002002,2024-11-12,97
2003,CR-2024-002003,2024-11-04,151,,8.3,Credit Card,AR00002003,2024-11-04,115
2004,CR-2024-002004,2024-11-10,152,,18926.0,Wire Transfer,AR00002004,2024-11-10,11
2005,CR-2024-002005,2024-11-05,153,,0.02,Check,AR00002005,2024-11-05,97
2006,CR-2024-002006,2024-11-20,154,,16365.93,Check,AR00002006,2024-11-21,115
2007,CR-2024-002007,2024-11-05,155,,1.43,ACH,AR00002007,2024-11-05,11
2008,CR-2024-002008,2024-11-12,156,,28407.51,Wire Transfer,AR00002008,2024-11-14,11
2009,CR-2024-002009,2024-11-11,157,,700.89,Check,AR00002009,2024-11-11,97
2010,CR-2024-002010,2024-11-11,158,,9421.68,Wire Transfer,AR00002010,2024-11-12,115
2011,CR-2024-002011,2024-11-10,159,,8602.96,Wire Transfer,AR00002011,2024-11-10,97
2012,CR-2024-002012,2024-11-08,160,,797.43,Wire Transfer,AR00002012,2024-11-08,115
2013,CR-2024-002013,2024-11-12,161,,27796.54,Check,AR00002013,2024-11-14,11
2014,CR-2024-002014,2024-11-13,162,,12798.44,Wire Transfer,AR00002014,2024-11-15,11
2015,CR-2024-002015,2024-11-18,163,,8523.28,Credit Card,AR00002015,2024-11-20,115
2016,CR-2024-002016,2024-11-06,164,,433.69,Check,AR00002016,2024-11-07,11
2017,CR-2024-002017,2024-11-18,165,,2664.8,Wire Transfer,AR00002017,2024-11-19,97
2018,CR-2024-002018,2024-11-17,166,,42936.41,Credit Card,AR00002018,2024-11-18,97
2019,CR-2024-002019,2024-11-10,167,,1386.25,ACH,AR00002019,2024-11-11,97
2020,CR-2024-002020,2024-11-11,168,,367.94,ACH,AR00002020,2024-11-13,11
2021,CR-2024-002021,2024-11-12,169,,56962.31,Check,AR00002021,2024-11-14,11
2022,CR-2024-002022,2024-11-20,170,5346.0,728.95,Credit Card,AR00002022,2024-11-20,115
2023,CR-2024-002023,2024-11-11,171,,3207.58,Wire Transfer,AR00002023,2024-11-13,97
2024,CR-2024-002024,2024-11-10,172,,38414.46,ACH,AR00002024,2024-11-11,11
2025,CR-2024-002025,2024-11-10,173,,43394.12,Credit Card,AR00002025,2024-11-12,11
2026,CR-2024-002026,2024-11-14,174,,18701.71,Credit Card,AR00002026,2024-11-16,97
2027,CR-2024-002027,2024-11-18,175,,638.62,Wire Transfer,AR00002027,2024-11-20,11
2028,CR-2024-002028,2024-11-18,176,,11476.79,Wire Transfer,AR00002028,2024-11-20,115
2029,CR-2024-002029,2024-11-18,177,,32508.15,Credit Card,AR00002029,2024-11-19,11
2030,CR-2024-002030,2024-11-14,178,,1251.32,Credit Card,AR00002030,2024-11-15,115
2031,CR-2024-002031,2024-11-06,179,,14766.06,Check,AR00002031,2024-11-07,115
2032,CR-2024-002032,2024-11-10,180,,7924.69,Credit Card,AR00002032,2024-11-12,11
2033,CR-2024-002033,2024-11-16,181,,10656.64,Credit Card,AR00002033,2024-11-17,11
2034,CR-2024-002034,2024-11-10,182,,10201.66,Credit Card,AR00002034,2024-11-12,97
2035,CR-2024-002035,2024-11-20,183,,14886.12,Wire Transfer,AR00002035,2024-11-20,97
2036,CR-2024-002036,2024-11-10,184,,37952.17,ACH,AR00002036,2024-11-11,11
2037,CR-2024-002037,2024-11-11,185,,14884.59,ACH,AR00002037,2024-11-11,97
2038,CR-2024-002038,2024-11-20,186,4770.0,8237.51,Check,AR00002038,2024-11-20,97
2039,CR-2024-002039,2024-11-06,187,,3845.79,Check,AR00002039,2024-11-06,97
2040,CR-2024-002040,2024-11-16,188,,16442.23,ACH,AR00002040,2024-11-16,115
2041,CR-2024-002041,2024-11-09,189,,16671.08,Wire Transfer,AR00002041,2024-11-11,115
2042,CR-2024-002042,2024-11-14,190,,37412.63,Check,AR00002042,2024-11-16,97
2043,CR-2024-002043,2024-11-14,191,,1307.39,Credit Card,AR00002043,2024-11-15,11
2044,CR-2024-002044,2024-11-13,192,,16196.64,Check,AR00002044,2024-11-15,11
2045,CR-2024-002045,2024-11-10,193,,15704.67,Credit Card,AR00002045,2024-11-12,11
2046,CR-2024-002046,2024-11-13,194,,22584.65,Wire Transfer,AR00002046,2024-11-13,11
2047,CR-2024-002047,2024-11-18,195,,23546.91,Check,AR00002047,2024-11-20,11
2048,CR-2024-002048,2024-11-12,196,,11809.6,Credit Card,AR00002048,2024-11-13,115
2049,CR-2024-002049,2024-11-06,197,,434.18,Wire Transfer,AR00002049,2024-11-08,97
2050,CR-2024-002050,2024-11-13,198,,37221.28,Check,AR00002050,2024-11-14,97
2051,CR-2024-002051,2024-11-11,199,,25516.73,Wire Transfer,AR00002051,2024-11-13,115
2052,CR-2024-002052,2024-11-18,200,,43972.56,Wire Transfer,AR00002052,2024-11-20,11
2053,CR-2024-002053,2024-11-14,201,,1042.71,Wire Transfer,AR00002053,2024-11-15,115
2054,CR-2024-002054,2024-11-11,202,,46526.04,Credit Card,AR00002054,2024-11-11,97
2055,CR-2024-002055,2024-11-06,203,,649.68,Credit Card,AR00002055,2024-11-07,11
2056,CR-2024-002056,2024-11-10,204,,13721.2,Check,AR00002056,2024-11-11,97
2057,CR-2024-002057,2024-11-08,205,,20677.22,Check,AR00002057,2024-11-10,115
2058,CR-2024-002058,2024-11-10,206,,1427.04,ACH,AR00002058,2024-11-11,97
2059,CR-2024-002059,2024-11-16,207,,13386.33,Credit Card,AR00002059,2024-11-18,97
2060,CR-2024-002060,2024-11-18,208,,45211.95,ACH,AR00002060,2024-11-18,97
2061,CR-2024-002061,2024-11-20,209,,24149.58,ACH,AR00002061,2024-11-20,11
2062,CR-2024-002062,2024-11-13,210,,14545.62,Credit Card,AR00002062,2024-11-15,115
2063,CR-2024-002063,2024-11-17,211,,24574.86,ACH,AR00002063,2024-11-18,115
2064,CR-2024-002064,2024-12-31,141,,4691.9,Check,DEP00002064,2024-12-31,97
2065,CR-2024-002065,2024-12-05,55,,2274.0,Wire Transfer,DEP00002065,2024-12-05,97
2066,CR-2024-002066,2024-12-23,200,,3089.53,Credit Card,DEP00002066,2024-12-23,115
2067,CR-2024-002067,2024-12-06,174,,2216.44,Credit Card,DEP00002067,2024-12-06,115
2068,CR-2024-002068,2024-12-27,182,,2522.68,Credit Card,DEP00002068,2024-12-27,97
2069,CR-2024-002069,2024-12-06,143,,4808.78,Wire Transfer,DEP00002069,2024-12-06,97
2070,CR-2024-002070,2024-12-14,1,,40891.15,Wire Transfer,AR00002070,2024-12-16,115
2071,CR-2024-002071,2024-12-11,2,,2471.76,Wire Transfer,AR00002071,2024-12-11,97
2072,CR-2024-002072,2024-12-18,3,,8208.39,Credit Card,AR00002072,2024-12-18,115
2073,CR-2024-002073,2024-12-20,4,,11018.88,ACH,AR00002073,2024-12-21,97
2074,CR-2024-002074,2024-12-16,5,,13725.56,Check,AR00002074,2024-12-16,97
2075,CR-2024-002075,2024-12-07,6,,7207.66,ACH,AR00002075,2024-12-09,11
2076,CR-2024-002076,2024-12-20,7,,29641.32,Credit Card,AR00002076,2024-12-22,97
2077,CR-2024-002077,2024-12-10,9,,34238.9,ACH,AR00002077,2024-12-11,11
2078,CR-2024-002078,2024-12-14,10,,16476.8,Wire Transfer,AR00002078,2024-12-16,115
2079,CR-2024-002079,2024-12-12,11,,1169.41,Check,AR00002079,2024-12-12,97
2080,CR-2024-002080,2024-12-12,12,,6374.82,Wire Transfer,AR00002080,2024-12-13,11
2081,CR-2024-002081,2024-12-20,13,,11347.56,Wire Transfer,AR00002081,2024-12-20,97
2082,CR-2024-002082,2024-12-17,14,,4777.51,Check,AR00002082,2024-12-17,97
2083,CR-2024-002083,2024-12-08,15,,17533.2,ACH,AR00002083,2024-12-10,11
2084,CR-2024-002084,2024-12-13,16,,14839.4,Wire Transfer,AR00002084,2024-12-15,97
2085,CR-2024-002085,2024-12-13,17,,13098.9,ACH,AR00002085,2024-12-13,11
2086,CR-2024-002086,2024-12-11,18,,6024.51,Check,AR00002086,2024-12-11,97
2087,CR-2024-002087,2024-12-09,19,,2327.0,ACH,AR00002087,2024-12-09,115
2088,CR-2024-002088,2024-12-11,20,,21687.05,Check,AR00002088,2024-12-13,11
2089,CR-2024-002089,2024-12-06,21,,2088.49,ACH,AR00002089,2024-12-06,115
2090,CR-2024-002090,2024-12-13,22,,17987.7,Check,AR00002090,2024-12-14,115
2091,CR-2024-002091,2024-12-13,23,,22301.57,ACH,AR00002091,2024-12-14,97
2092,CR-2024-002092,2024-12-07,24,,1093.55,Check,AR00002092,2024-12-08,115
2093,CR-2024-002093,2024-12-18,25,5006.0,4419.12,Check,AR00002093,2024-12-20,11
2094,CR-2024-002094,2024-12-10,26,,191.15,Wire Transfer,AR00002094,2024-12-10,11
2095,CR-2024-002095,2024-12-12,27,,6601.7,ACH,AR00002095,2024-12-13,115
2096,CR-2024-002096,2024-12-10,28,,114.56,Credit Card,AR00002096,2024-12-12,115
2097,CR-2024-002097,2024-12-11,29,,10507.93,Check,AR00002097,2024-12-13,11
2098,CR-2024-002098,2024-12-14,30,5376.0,2130.05,ACH,AR00002098,2024-12-14,11
2099,CR-2024-002099,2024-12-12,31,,8625.27,Check,AR00002099,2024-12-14,115
2100,CR-2024-002100,2024-12-13,32,,26149.28,ACH,AR00002100,2024-12-15,115
2101,CR-2024-002101,2024-12-08,33,,648.26,Check,AR00002101,2024-12-09,11
2102,CR-2024-002102,2024-12-12,34,,18887.38,Check,AR00002102,2024-12-14,97
2103,CR-2024-002103,2024-12-10,35,,1768.75,Wire Transfer,AR00002103,2024-12-10,115
2104,CR-2024-002104,2024-12-12,36,,2582.84,Credit Card,AR00002104,2024-12-13,115
2105,CR-2024-002105,2024-12-11,37,,45205.29,Credit Card,AR00002105,2024-12-13,11
2106,CR-2024-002106,2024-12-11,38,,9502.49,ACH,AR00002106,2024-12-11,97
2107,CR-2024-002107,2024-12-09,39,,1216.26,ACH,AR00002107,2024-12-11,11
2108,CR-2024-002108,2024-12-13,40,,4710.57,Check,AR00002108,2024-12-13,115
2109,CR-2024-002109,2024-12-10,41,,2562.68,Credit Card,AR00002109,2024-12-12,97
2110,CR-2024-002110,2024-12-11,42,,11187.62,ACH,AR00002110,2024-12-11,115
2111,CR-2024-002111,2024-12-10,43,,13303.91,Credit Card,AR00002111,2024-12-10,97
2112,CR-2024-002112,2024-12-11,44,,6448.39,Check,AR00002112,2024-12-11,97
2113,CR-2024-002113,2024-12-13,45,,6972.16,Credit Card,AR00002113,2024-12-14,11
2114,CR-2024-002114,2024-12-18,46,,2417.07,Credit Card,AR00002114,2024-12-20,97
2115,CR-2024-002115,2024-12-14,47,,4403.43,Credit Card,AR00002115,2024-12-14,11
2116,CR-2024-002116,2024-12-06,48,,694.55,Check,AR00002116,2024-12-07,115
2117,CR-2024-002117,2024-12-13,49,,13722.54,ACH,AR00002117,2024-12-15,11
2118,CR-2024-002118,2024-12-12,51,,45139.63,Check,AR00002118,2024-12-12,115
2119,CR-2024-002119,2024-12-20,52,,1422.83,Check,AR00002119,2024-12-21,97
2120,CR-2024-002120,2024-12-10,54,,67.29,Check,AR00002120,2024-12-11,97
2121,CR-2024-002121,2024-12-18,55,,19583.73,Check,AR00002121,2024-12-18,97
2122,CR-2024-002122,2024-12-09,56,,107.5,ACH,AR00002122,2024-12-09,97
2123,CR-2024-002123,2024-12-18,57,,3710.01,Credit Card,AR00002123,2024-12-18,11
2124,CR-2024-002124,2024-12-05,59,,16.21,Check,AR00002124,2024-12-06,115
2125,CR-2024-002125,2024-12-10,60,4451.0,946.23,Check,AR00002125,2024-12-11,115
2126,CR-2024-002126,2024-12-13,61,,2084.5,Wire Transfer,AR00002126,2024-12-15,97
2127,CR-2024-002127,2024-12-12,62,,27607.48,Credit Card,AR00002127,2024-12-14,11
2128,CR-2024-002128,2024-12-11,63,,1622.81,Wire Transfer,AR00002128,2024-12-13,115
2129,CR-2024-002129,2024-12-18,64,,6371.2,Credit Card,AR00002129,2024-12-20,11
2130,CR-2024-002130,2024-12-11,65,,16326.75,Wire Transfer,AR00002130,2024-12-13,11
2131,CR-2024-002131,2024-12-22,66,,1464.62,Check,AR00002131,2024-12-24,115
2132,CR-2024-002132,2024-12-18,67,,10573.12,ACH,AR00002132,2024-12-20,97
2133,CR-2024-002133,2024-12-10,68,,5790.46,Credit Card,AR00002133,2024-12-12,115
2134,CR-2024-002134,2024-12-19,69,,6745.3,Wire Transfer,AR00002134,2024-12-20,97
2135,CR-2024-002135,2024-12-10,70,,6499.47,Wire Transfer,AR00002135,2024-12-12,115
2136,CR-2024-002136,2024-12-07,71,,10359.29,Credit Card,AR00002136,2024-12-07,11
2137,CR-2024-002137,2024-12-11,72,,19348.01,Credit Card,AR00002137,2024-12-11,115
2138,CR-2024-002138,2024-12-13,73,,14435.28,ACH,AR00002138,2024-12-13,97
2139,CR-2024-002139,2024-12-13,74,,17389.86,Check,AR00002139,2024-12-15,97
2140,CR-2024-002140,2024-12-16,75,,6058.14,Wire Transfer,AR00002140,2024-12-16,115
2141,CR-2024-002141,2024-12-19,76,,4604.22,Wire Transfer,AR00002141,2024-12-19,11
2142,CR-2024-002142,2024-12-03,77,3047.0,4.21,ACH,AR00002142,2024-12-04,97
2143,CR-2024-002143,2024-12-12,78,,11942.22,Wire Transfer,AR00002143,2024-12-12,115
2144,CR-2024-002144,2024-12-07,79,,528.86,Credit Card,AR00002144,2024-12-08,97
2145,CR-2024-002145,2024-12-12,80,,12599.65,ACH,AR00002145,2024-12-13,115
2146,CR-2024-002146,2024-12-11,81,,29114.25,Credit Card,AR00002146,2024-12-12,97
2147,CR-2024-002147,2024-12-18,82,,7472.35,ACH,AR00002147,2024-12-19,97
2148,CR-2024-002148,2024-12-14,83,,11459.2,Wire Transfer,AR00002148,2024-12-14,11
2149,CR-2024-002149,2024-12-13,84,,8581.63,Credit Card,AR00002149,2024-12-14,11
2150,CR-2024-002150,2024-12-07,85,2453.0,0.46,Wire Transfer,AR00002150,2024-12-09,115
2151,CR-2024-002151,2024-12-06,86,,535.22,Wire Transfer,AR00002151,2024-12-08,97
2152,CR-2024-002152,2024-12-16,87,,23653.48,Check,AR00002152,2024-12-17,115
2153,CR-2024-002153,2024-12-13,88,,10558.84,Check,AR00002153,2024-12-13,97
2154,CR-2024-002154,2024-12-19,89,,5589.61,Wire Transfer,AR00002154,2024-12-20,97
2155,CR-2024-002155,2024-12-20,90,,31691.15,Check,AR00002155,2024-12-21,11
2156,CR-2024-002156,2024-12-11,91,,2476.59,ACH,AR00002156,2024-12-13,97
2157,CR-2024-002157,2024-12-13,92,4196.0,4524.03,ACH,AR00002157,2024-12-14,97
2158,CR-2024-002158,2024-12-06,93,,758.13,Wire Transfer,AR00002158,2024-12-07,97
2159,CR-2024-002159,2024-12-11,94,,4620.83,Credit Card,AR00002159,2024-12-13,97
2160,CR-2024-002160,2024-12-11,95,,21123.86,ACH,AR00002160,2024-12-11,11
2161,CR-2024-002161,2024-12-16,96,,10569.03,Credit Card,AR00002161,2024-12-16,115
2162,CR-2024-002162,2024-12-13,97,,2751.51,Credit Card,AR00002162,2024-12-14,11
2163,CR-2024-002163,2024-12-12,98,,16037.89,ACH,AR00002163,2024-12-13,115
2164,CR-2024-002164,2024-12-14,99,,6793.34,Wire Transfer,AR00002164,2024-12-15,97
2165,CR-2024-002165,2024-12-12,100,,2516.76,ACH,AR00002165,2024-12-13,97
2166,CR-2024-002166,2024-12-10,101,,2209.07,Credit Card,AR00002166,2024-12-11,115
2167,CR-2024-002167,2024-12-12,102,,3714.57,Credit Card,AR00002167,2024-12-14,115
2168,CR-2024-002168,2024-12-12,103,,2222.58,ACH,AR00002168,2024-12-14,11
2169,CR-2024-002169,2024-12-11,104,,43798.05,Check,AR00002169,2024-12-11,115
2170,CR-2024-002170,2024-12-14,105,,13649.52,ACH,AR00002170,2024-12-16,11
2171,CR-2024-002171,2024-12-11,106,,11598.52,Wire Transfer,AR00002171,2024-12-11,11
2172,CR-2024-002172,2024-12-11,107,5091.0,56.13,Credit Card,AR00002172,2024-12-13,11
2173,CR-2024-002173,2024-12-19,109,,19849.71,Check,AR00002173,2024-12-20,115
2174,CR-2024-002174,2024-12-12,110,,23947.42,ACH,AR00002174,2024-12-12,11
2175,CR-2024-002175,2024-12-10,111,,413.75,Check,AR00002175,2024-12-10,11
2176,CR-2024-002176,2024-12-14,112,,1468.66,Credit Card,AR00002176,2024-12-15,11
2177,CR-2024-002177,2024-12-12,113,,22487.58,Check,AR00002177,2024-12-13,115
2178,CR-2024-002178,2024-12-06,114,,2431.05,ACH,AR00002178,2024-12-06,97
2179,CR-2024-002179,2024-12-14,115,,19618.3,Wire Transfer,AR00002179,2024-12-15,115
2180,CR-2024-002180,2024-12-18,116,,12489.1,Wire Transfer,AR00002180,2024-12-20,115
2181,CR-2024-002181,2024-12-19,117,,10093.26,ACH,AR00002181,2024-12-19,115
2182,CR-2024-002182,2024-12-20,118,,13752.4,Wire Transfer,AR00002182,2024-12-20,115
2183,CR-2024-002183,2024-12-14,119,,26788.57,Credit Card,AR00002183,2024-12-15,97
2184,CR-2024-002184,2024-12-16,120,,14552.6,Wire Transfer,AR00002184,2024-12-16,97
2185,CR-2024-002185,2024-12-11,121,,5803.24,Credit Card,AR00002185,2024-12-13,97
2186,CR-2024-002186,2024-12-06,122,4803.0,20.26,Check,AR00002186,2024-12-08,11
2187,CR-2024-002187,2024-12-10,123,,5323.16,ACH,AR00002187,2024-12-12,11
2188,CR-2024-002188,2024-12-14,124,,23388.36,Credit Card,AR00002188,2024-12-15,11
2189,CR-2024-002189,2024-12-11,125,,6051.19,Check,AR00002189,2024-12-13,97
2190,CR-2024-002190,2024-12-11,127,,4687.84,Check,AR00002190,2024-12-13,115
2191,CR-2024-002191,2024-12-10,128,,23051.79,ACH,AR00002191,2024-12-12,97
2192,CR-2024-002192,2024-12-12,129,,34118.29,Check,AR00002192,2024-12-12,115
2193,CR-2024-002193,2024-12-06,130,,229.13,Check,AR00002193,2024-12-08,97
2194,CR-2024-002194,2024-12-12,131,,22551.44,Credit Card,AR00002194,2024-12-14,115
2195,CR-2024-002195,2024-12-03,132,2332.0,2.33,Wire Transfer,AR00002195,2024-12-03,115
2196,CR-2024-002196,2024-12-12,133,,44090.84,Wire Transfer,AR00002196,2024-12-14,97
2197,CR-2024-002197,2024-12-12,135,,26558.87,Check,AR00002197,2024-12-12,115
2198,CR-2024-002198,2024-12-12,136,,16549.6,ACH,AR00002198,2024-12-14,11
2199,CR-2024-002199,2024-12-20,136,,48816.8,Credit Card,AR00002199,2024-12-21,11
2200,CR-2024-002200,2024-12-12,137,,8554.3,Check,AR00002200,2024-12-12,115
2201,CR-2024-002201,2024-12-19,138,,27185.44,Wire Transfer,AR00002201,2024-12-21,97
2202,CR-2024-002202,2024-12-18,139,,14554.38,Wire Transfer,AR00002202,2024-12-19,11
2203,CR-2024-002203,2024-12-10,140,,1827.7,ACH,AR00002203,2024-12-11,97
2204,CR-2024-002204,2024-12-20,141,,21824.72,Wire Transfer,AR00002204,2024-12-20,115
2205,CR-2024-002205,2024-12-20,143,5377.0,2169.27,Check,AR00002205,2024-12-21,97
2206,CR-2024-002206,2024-12-13,144,,7653.74,Wire Transfer,AR00002206,2024-12-14,11
2207,CR-2024-002207,2024-12-21,145,6060.0,2034.7,Credit Card,AR00002207,2024-12-21,11
2208,CR-2024-002208,2024-12-10,146,,11298.19,ACH,AR00002208,2024-12-12,11
2209,CR-2024-002209,2024-12-11,147,,3781.98,Credit Card,AR00002209,2024-12-13,11
2210,CR-2024-002210,2024-12-05,148,,223.99,ACH,AR00002210,2024-12-07,115
2211,CR-2024-002211,2024-12-18,149,,16205.76,Wire Transfer,AR00002211,2024-12-18,11
2212,CR-2024-002212,2024-12-14,150,,2739.49,Credit Card,AR00002212,2024-12-15,115
2213,CR-2024-002213,2024-12-03,151,,745.97,Check,AR00002213,2024-12-04,11
2214,CR-2024-002214,2024-12-14,152,,25510.87,Wire Transfer,AR00002214,2024-12-15,97
2215,CR-2024-002215,2024-12-23,153,,166.87,Credit Card,AR00002215,2024-12-23,11
2216,CR-2024-002216,2024-12-14,154,,6185.93,Credit Card,AR00002216,2024-12-16,115
2217,CR-2024-002217,2024-12-04,155,,1162.66,Check,AR00002217,2024-12-04,97
2218,CR-2024-002218,2024-12-12,156,,27617.49,Check,AR00002218,2024-12-14,115
2219,CR-2024-002219,2024-12-06,157,,388.5,Wire Transfer,AR00002219,2024-12-07,11
2220,CR-2024-002220,2024-12-10,158,,7676.22,Check,AR00002220,2024-12-10,97
2221,CR-2024-002221,2024-12-16,159,,9120.2,ACH,AR00002221,2024-12-17,115
2222,CR-2024-002222,2024-12-20,160,,6932.43,Credit Card,AR00002222,2024-12-20,115
2223,CR-2024-002223,2024-12-19,161,,57101.19,Check,AR00002223,2024-12-21,115
2224,CR-2024-002224,2024-12-07,162,,3551.85,Check,AR00002224,2024-12-08,11
2225,CR-2024-002225,2024-12-11,163,,3145.42,Wire Transfer,AR00002225,2024-12-11,97
2226,CR-2024-002226,2024-12-13,164,,413.04,Credit Card,AR00002226,2024-12-14,115
2227,CR-2024-002227,2024-12-12,165,3819.0,982.01,ACH,AR00002227,2024-12-13,115
2228,CR-2024-002228,2024-12-13,166,,28724.89,Credit Card,AR00002228,2024-12-14,97
2229,CR-2024-002229,2024-12-20,167,,5323.52,Credit Card,AR00002229,2024-12-20,11
2230,CR-2024-002230,2024-12-10,168,4418.0,75.98,Credit Card,AR00002230,2024-12-11,115
2231,CR-2024-002231,2024-12-14,169,,40627.1,Credit Card,AR00002231,2024-12-14,97
2232,CR-2024-002232,2024-12-17,170,,3069.09,Wire Transfer,AR00002232,2024-12-18,11
2233,CR-2024-002233,2024-12-16,171,5339.0,7100.34,Credit Card,AR00002233,2024-12-18,97
2234,CR-2024-002234,2024-12-13,172,,19975.32,Check,AR00002234,2024-12-13,97
2235,CR-2024-002235,2024-12-11,173,,40064.62,Wire Transfer,AR00002235,2024-12-11,11
2236,CR-2024-002236,2024-12-12,174,4464.0,8507.76,ACH,AR00002236,2024-12-14,115
2237,CR-2024-002237,2024-12-12,175,4629.0,223.84,Wire Transfer,AR00002237,2024-12-13,97
2238,CR-2024-002238,2024-12-12,176,,21401.51,Wire Transfer,AR00002238,2024-12-14,97
2239,CR-2024-002239,2024-12-10,177,,34162.8,ACH,AR00002239,2024-12-12,97
2240,CR-2024-002240,2024-12-17,178,,1936.93,ACH,AR00002240,2024-12-19,115
2241,CR-2024-002241,2024-12-20,179,,39786.63,ACH,AR00002241,2024-12-20,11
2242,CR-2024-002242,2024-12-06,180,,9733.83,Check,AR00002242,2024-12-08,97
2243,CR-2024-002243,2024-12-14,181,,13911.91,Credit Card,AR00002243,2024-12-16,97
2244,CR-2024-002244,2024-12-18,182,,5914.42,ACH,AR00002244,2024-12-19,97
2245,CR-2024-002245,2024-12-12,183,,7543.6,ACH,AR00002245,2024-12-14,115
2246,CR-2024-002246,2024-12-12,184,,24113.53,Wire Transfer,AR00002246,2024-12-14,115
2247,CR-2024-002247,2024-12-10,185,,13360.05,Check,AR00002247,2024-12-10,115
2248,CR-2024-002248,2024-12-10,186,,4320.66,ACH,AR00002248,2024-12-12,11
2249,CR-2024-002249,2024-12-16,187,,19664.54,Credit Card,AR00002249,2024-12-16,97
2250,CR-2024-002250,2024-12-12,188,,18605.11,Wire Transfer,AR00002250,2024-12-13,115
2251,CR-2024-002251,2024-12-14,189,,10618.83,Wire Transfer,AR00002251,2024-12-16,115
2252,CR-2024-002252,2024-12-14,190,,38581.4,Wire Transfer,AR00002252,2024-12-14,115
2253,CR-2024-002253,2024-12-20,191,,4686.95,Check,AR00002253,2024-12-22,115
2254,CR-2024-002254,2024-12-20,192,,21831.75,ACH,AR00002254,2024-12-20,115
2255,CR-2024-002255,2024-12-06,193,,11341.92,ACH,AR00002255,2024-12-08,97
2256,CR-2024-002256,2024-12-11,194,,30463.04,ACH,AR00002256,2024-12-13,97
2257,CR-2024-002257,2024-12-10,195,,22694.53,Credit Card,AR00002257,2024-12-11,97
2258,CR-2024-002258,2024-12-17,196,,16204.15,ACH,AR00002258,2024-12-17,97
2259,CR-2024-002259,2024-12-18,197,,3217.39,Check,AR00002259,2024-12-18,97
2260,CR-2024-002260,2024-12-10,198,,16575.99,ACH,AR00002260,2024-12-11,97
2261,CR-2024-002261,2024-12-10,199,,22698.2,Credit Card,AR00002261,2024-12-11,97
2262,CR-2024-002262,2024-12-11,200,,41867.8,Wire Transfer,AR00002262,2024-12-11,115
2263,CR-2024-002263,2024-12-16,201,,5727.39,Wire Transfer,AR00002263,2024-12-16,115
2264,CR-2024-002264,2024-12-14,202,,64697.46,Wire Transfer,AR00002264,2024-12-16,11
